S. No.,District,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2018-19 till 2024-25
1,agra,4,4,12,7,14,33,4,152
2,aligarh,8,8,5,10,7,4,3,119
3,ambedkar nagar,51,51,22,5,40,39,14,296
4,amethi,24,24,29,40,30,49,13,283
5,amroha,3,3,1,0,3,12,4,100
6,auraiya,6,6,0,13,26,17,4,146
7,ayodhya,16,16,7,84,32,57,8,294
8,azamgarh,23,24,43,104,33,74,8,383
9,baghpat,3,3,1,2,4,13,0,100
10,bahraich,17,17,41,0,3,7,51,210
11,ballia,29,29,43,68,51,59,21,374
12,balrampur,8,8,14,32,17,36,44,233
13,banda,14,14,24,32,70,117,69,414
14,barabanki,46,46,59,119,91,85,10,530
15,bareilly,8,8,5,6,15,15,5,136
16,basti,2,2,16,30,5,5,6,140
17,bhadohi,7,7,7,2,1,14,7,119
18,bijnor,2,2,11,7,6,48,24,174
19,budaun,8,8,12,28,20,68,17,235
20,bulandshahr,6,6,2,1,6,28,21,144
21,chandauli,27,27,22,3,22,20,27,222
22,chitrakoot,12,12,12,20,12,31,35,208
23,deoria,13,13,17,16,56,16,4,209
24,etah,6,6,1,18,18,46,15,184
25,etawah,6,6,12,36,25,3,18,180
26,farrukhabad,18,18,5,49,40,85,17,306
27,fatehpur,80,80,87,128,92,114,49,704
28,firozabad,19,19,12,44,18,21,5,212
29,gb nagar,4,4,0,4,6,8,7,107
30,ghaziabad,0,0,1,5,0,4,29,113
31,ghazipur,34,34,34,116,91,119,47,549
32,gonda,7,7,23,76,61,32,15,295
33,gorakhpur,22,22,20,60,64,62,12,336
34,hamirpur,25,25,5,39,55,26,22,271
35,hapur,4,4,1,27,0,115,0,225
36,hardoi,95,95,40,0,63,8,10,385
37,hathras,6,6,3,1,9,0,14,113
38,jalaun,15,15,2,4,14,27,18,169
39,jaunpur,35,35,50,34,7,52,3,290
40,jhansi,12,12,1,22,19,45,3,188
41,kannauj,14,14,15,14,30,43,22,226
42,kanpur dehat,9,9,11,77,51,60,4,295
43,kanpur nagar,30,30,0,1,11,6,14,166
44,kasganj,9,9,5,15,2,58,10,182
45,kaushambi,30,30,25,22,77,70,15,343
46,kheri,38,38,65,28,6,58,10,317
47,kushinagar,19,19,19,26,30,148,16,351
48,lalitpur,33,33,11,73,75,87,15,401
49,lucknow,1,1,5,23,36,20,14,174
50,maharajganj,1,1,8,41,5,47,2,179
51,mahoba,21,21,20,33,50,55,12,286
52,mainpuri,12,12,12,9,11,43,28,201
53,mathura,6,6,3,12,4,41,2,148
54,mau,12,12,13,0,24,24,2,161
55,meerut,3,3,0,8,8,14,18,128
56,mirzapur,65,65,64,100,69,99,19,555
57,moradabad,8,8,1,15,18,3,6,133
58,muzaffarnagar,11,11,4,8,12,7,14,141
59,pilibhit,37,37,26,51,23,67,9,324
60,pratapgarh,54,54,31,62,24,49,75,423
61,prayagraj,35,35,44,60,45,107,11,411
62,raebareli,34,34,39,61,18,32,27,319
63,rampur,2,2,1,3,0,17,3,102
64,saharanpur,7,7,4,5,10,30,6,143
65,sambhal,4,4,12,2,0,25,10,131
66,sant kabir nagar,5,5,11,8,24,37,30,194
67,shahjahanpur,7,7,9,63,31,40,10,241
68,shamli,1,1,1,15,4,6,7,109
69,shrawasti,3,3,3,15,24,24,29,175
70,siddharthnagar,9,9,5,28,29,73,9,236
71,sitapur,35,35,39,131,94,104,11,523
72,sonbhadra,70,70,86,241,170,199,47,957
73,sultanpur,23,23,30,25,42,38,22,277
74,unnao,49,49,75,71,27,43,16,404
75,varanasi,12,12,3,4,14,11,15,145
